id,trigger,conditions,script,text,options,notes,
,,,,,,,
# Yma,,,,,,,
vulpChatSurroundings_hananPachaOption,VulpoidChatSurroundingsOptions,$topic.id == hanan_pacha score:1000,,,vulpChatSurroundings_hananPacha:Hanan Pacha,,hananPacha
vulpChatSurroundings_hananPacha,DialogOptionSelected,$option == vulpChatSurroundings_hananPacha,SetVulpoidExpression cry,"""The Hanan Pacha atrocity... pardon me, I just need to get my emotions in order.""",vulpChatSurroundings_hananPacha1:Continue,,
vulpChatSurroundings_hananPacha1,DialogOptionSelected,$option == vulpChatSurroundings_hananPacha1,"SetVulpoidExpression bruh
ExitRulesToPlugin","""Right, the atrocity. A lot of people point to the dropped investigation as evidence of one of the warring parties being the ones to drop the PK. But I actually think that the Hegemony would have pushed for that regardless of whether they or another party was responsible.""

""Look, right now! We're talking about who dropped the PK, rather than how the Hegemony failed to stop them! If the guilty party was known, the human need for drama would have inevitably made that the next topic of discussion. But as long as there's a mystery, everyone stays preoccupied with that.""

""That said, I don't think people's suspicions are unreasonable. It wouldn't be the first time the Hegemony knowingly took advantage of a terrorist attack to benefit their war efforts.""",,,
vulpChatSurroundings_hananPachaDummy,DialogOptionSelected,"$option == vulpChatSurroundings_hananPacha
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression cry
ExitRulesToPlugin","""Why do humans blow each other up? It doesn't make sense!""",,,
vulpChatSurroundings_killaOption,VulpoidChatSurroundingsOptions,$topic.id == killa score:1000,,,vulpChatSurroundings_killa:Killa,,killa
vulpChatSurroundings_killa,DialogOptionSelected,$option == vulpChatSurroundings_killa,"SetVulpoidExpression bruh
ExitRulesToPlugin","""There's definitely survivors on Killa, and after what they've been through I can hardly blame them for staying isolated. Heck, sometimes the idea's almost appealing.""",,,
vulpChatSurroundings_killaDummy,DialogOptionSelected,"$option == vulpChatSurroundings_killa
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression cry
ExitRulesToPlugin","""Aw, the city got blown up! I hope everyone was okay though...""",,,
vulpChatSurroundings_salamancaOption,VulpoidChatSurroundingsOptions,$topic.id == salamanca score:1000,,,vulpChatSurroundings_salamanca:Salamanca,,salamanca
vulpChatSurroundings_salamanca,DialogOptionSelected,$option == vulpChatSurroundings_salamanca,"SetVulpoidExpression angry
ExitRulesToPlugin","""If it weren't for their League membership, everyone would be calling Salamanca a pirate world - and rightfully so! Even ignoring the fact that they seized the planet after being driven off of Mazalot, they've still got deep, deep underworld ties.""

""Also the planet sucks and I don't want to visit.""",,,
vulpChatSurroundings_salamancaDummy,DialogOptionSelected,"$option == vulpChatSurroundings_salamanca
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression bruh
ExitRulesToPlugin","""Are these guys pirates or Persean League? People keep talking like they're pirates, but they're yellow on the map... Wait, the planet is yellow! Is that why?""",,,
vulpChatSurroundings_qarasOption,VulpoidChatSurroundingsOptions,$topic.id == qaras score:1000,,,vulpChatSurroundings_qaras:Qaras,,qaras
vulpChatSurroundings_qaras,DialogOptionSelected,$option == vulpChatSurroundings_qaras,"SetVulpoidExpression bruh
ExitRulesToPlugin","""Another case of disappointing inaction from the Hegemony. Slapping a blanket demilitarization on the whole star system, then sitting on their hands when the only habitable planet gets predictably seized by a bunch of brigands.""",,,
vulpChatSurroundings_qarasDummy,DialogOptionSelected,"$option == vulpChatSurroundings_qaras
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""This is a really pretty planet! It's got a ring, and a mirror, and a nice star!""",,,
,,,,,,,
# Zagan,,,,,,,
vulpChatSurroundings_mazalotOption,VulpoidChatSurroundingsOptions,$topic.id == mazalot score:1000,,,vulpChatSurroundings_mazalot:Mazalot,,mazalot
vulpChatSurroundings_mazalot,DialogOptionSelected,$option == vulpChatSurroundings_mazalot,"SetVulpoidExpression default
ExitRulesToPlugin","""You'd think a world with such strong ties to the Path would be troublesome, but Mazalot is actually great! The people there really like Vulpoids, and are quick to speak up if someone objectifies us.""

""There's even rumors of Vulpoid liberation movements originating there. Can't say I'm surprised, Mazalotans will rise up against just about anything.""",,,
vulpChatSurroundings_mazalotDummy,DialogOptionSelected,"$option == vulpChatSurroundings_mazalot
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""Oh the humans there are so friendly! They always ask nicely if we want to help them with things! I dunno why they don't like buying us.""",,,
vulpChatSurroundings_ilmOption,VulpoidChatSurroundingsOptions,$topic.id == ilm score:1000,,,vulpChatSurroundings_ilm:Ilm,,ilm
vulpChatSurroundings_ilm,DialogOptionSelected,$option == vulpChatSurroundings_ilm,"SetVulpoidExpression default
ExitRulesToPlugin","""The Sector's keystone volatiles producer. Even if the Hegemony technically outproduces it, the League and Diktat can't exactly count on the Hegemony market, so it's critical for both factions' fuel supply. And in turn it's critical for Tri-Tachyon's fuel supply, since they don't have any plants of their own...""",,,
vulpChatSurroundings_ilmDummy,DialogOptionSelected,"$option == vulpChatSurroundings_ilm
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""Woah, look! That gas planet is red! That's so cool!""",,,
vulpChatSurroundings_yesodOption,VulpoidChatSurroundingsOptions,$topic.id == yesod score:1000,,,vulpChatSurroundings_yesod:Yesod,,yesod
vulpChatSurroundings_yesod,DialogOptionSelected,$option == vulpChatSurroundings_yesod,"SetVulpoidExpression default
ExitRulesToPlugin","""The lack of development here is the result of infighting, but I think it's actually the right approach. The League already has Madeira, while Tri-Tachyon desperately wants its own reliable source of fuel. Building up Yesod would invite even more risk for Tri-Tachyon to pull another Port Tse.""",,,
vulpChatSurroundings_yesodDummy,DialogOptionSelected,"$option == vulpChatSurroundings_yesod
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""This is smart! There's lots of ice here, so they can put out the fuel if it burns!""",,,
,,,,,,,
# Alpha Site,,,,,,,
vulpChatSurroundings_alphaSiteOption,VulpoidChatSurroundingsOptions,$topic.id == site_alpha score:1000,,,vulpChatSurroundings_alphaSite:Alpha Site,,alphaSite
vulpChatSurroundings_alphaSite,DialogOptionSelected,$option == vulpChatSurroundings_alphaSite,"SetVulpoidExpression fear
ExitRulesToPlugin","""This is, frankly, terrifying. What on earth was going on here that it was worth building on a cold, dark, irradiated world, hidden behind a Transverse Jump?""

$name taps her fingers nervously, to a beat you can't quite recognize.",,,
vulpChatSurroundings_alphaSiteDummy,DialogOptionSelected,"$option == vulpChatSurroundings_alphaSite
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression fear
ExitRulesToPlugin","""That planet is scary. I think it's wrong.""",,,
vulpChatSurroundings_alphaSiteBeaconOption,VulpoidChatSurroundingsOptions,"$topic.customType == warning_beacon score:1000
$ttBlackSite score:1000",,,vulpChatSurroundings_alphaSiteBeacon:Warning Beacon,,alphaSiteBeacon
vulpChatSurroundings_alphaSiteBeacon,DialogOptionSelected,$option == vulpChatSurroundings_alphaSiteBeacon,"SetVulpoidExpression fear
ExitRulesToPlugin","""This is a very disturbing hyperspace phenomenon. I've never heard of a nascent jump-point like this outside of abyssal hyperspace, it must have been flung away from a hyperspace-accessible primary...""

""But then the nascent point also seems decoupled from the actual body. Presumably a side-effect from the unique partial decoupling from hyperspace, the real-space side of the jump-point must have somehow worked its way out of the body's gravitational well...?",,,
vulpChatSurroundings_alphaSiteBeaconDummy,DialogOptionSelected,"$option == vulpChatSurroundings_alphaSiteBeacon
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression fear
ExitRulesToPlugin","""Where's the star? Shouldn't there be a star somewhere?""",,,
,,,,,,,
# Sentinel,,,,,,,
#vulpChatSurroundings_sentinelOption,VulpoidChatSurroundingsOptions,$topic.core_pkPlanet score:1000,,,vulpChatSurroundings_sentinel:Sentinel,,sentinel
#vulpChatSurroundings_sentinel,DialogOptionSelected,$option == vulpChatSurroundings_sentinel,"SetVulpoidExpression default
ExitRulesToPlugin",TODO: sentinel,,,
#vulpChatSurroundings_sentinelDummy,DialogOptionSelected,"$option == vulpChatSurroundings_sentinel
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin",TODO: sentinel Dummy,,,
#vulpChatSurroundings_sentinelGantriesOption,VulpoidChatSurroundingsOptions,$topic.id == pk_dockyard score:1000,,,vulpChatSurroundings_sentinelGantries:Sentinel Gantries,,sentinelGantries
#vulpChatSurroundings_sentinelGantries,DialogOptionSelected,$option == vulpChatSurroundings_sentinelGantries,"SetVulpoidExpression default
ExitRulesToPlugin",TODO: sentinelGantries,,,
#vulpChatSurroundings_sentinelGantriesDummy,DialogOptionSelected,"$option == vulpChatSurroundings_sentinelGantries
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin",TODO: sentinelGantries Dummy,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
# Objectives,,,,,,,
vulpChatSurroundings_jumpPointOption,VulpoidChatSurroundingsOptions,$topic.tag:jump_point score:1000,"$optionColor:vulpChatSurroundings_jumpPoint = ""192,64,255"" 0",,vulpChatSurroundings_jumpPoint:$topic.name,,jumpPoint
vulpChatSurroundings_jumpPoint,DialogOptionSelected,$option == vulpChatSurroundings_jumpPoint,"SetVulpoidExpression default
ExitRulesToPlugin","""The Durand-Patel conjunction. Possibly the single most important celestial phenomenon in history. I can't even imagine a world without hyperspace travel.""",,,
vulpChatSurroundings_jumpPointLaisa,DialogOptionSelected,"$option == vulpChatSurroundings_jumpPoint
$id == laisa","SetVulpoidExpression default
ExitRulesToPlugin","""The Durand-Patel conjunction. I remember when they were secondary to the Gates, but now they're the most essential celestial phenomenon in the Sector.""",,,
vulpChatSurroundings_jumpPointDummy,DialogOptionSelected,"$option == vulpChatSurroundings_jumpPoint
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""You want to know something funny? If you look at the display right, they look like purple donuts, haha!""",,,
vulpChatSurroundings_stableLocationOption,VulpoidChatSurroundingsOptions,$topic.customType == stable_location score:1000,,,vulpChatSurroundings_stableLocation:$topic.name,,stableLocation
vulpChatSurroundings_stableLocation,DialogOptionSelected,$option == vulpChatSurroundings_stableLocation,"SetVulpoidExpression default
ExitRulesToPlugin","""There's no documentation suggesting we have a sensitivity to hyperwaves. But I can't help but feel calmed near a stable location. Maybe it's just because they're so far out into space.""

""But it does feel quiet and peaceful. Like a forest clearing, or a babbling brook. At times, I can almost hear something in the silence.""",,,
vulpChatSurroundings_stableLocationDummy,DialogOptionSelected,"$option == vulpChatSurroundings_stableLocation
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""It's dark outside. The stars are pretty though!""",,,
vulpChatSurroundings_commRelayOption,VulpoidChatSurroundingsOptions,$topic.customType == comm_relay score:1000,,,vulpChatSurroundings_commRelay:$topic.name,,commRelay
vulpChatSurroundings_commRelay,DialogOptionSelected,$option == vulpChatSurroundings_commRelay,"SetVulpoidExpression default
ExitRulesToPlugin","""I much prefer these Domain-era comm relays. The hyperwave wash is much more tolerable at standard ranges.""",,,
vulpChatSurroundings_commRelayHacked,DialogOptionSelected,"$option == vulpChatSurroundings_commRelay
$topic.cob_hacked","SetVulpoidExpression bruh
ExitRulesToPlugin","""I was just checking some... things. Do we have a sniffer script running on this relay?""",,,
vulpChatSurroundings_commRelayDummy,DialogOptionSelected,"$option == vulpChatSurroundings_commRelay
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""We should make some holovids! People really like seeing my sisters in them!""",,,
vulpChatSurroundings_commRelayMakeshiftOption,VulpoidChatSurroundingsOptions,$topic.customType == comm_relay_makeshift score:1000,,,vulpChatSurroundings_commRelayMakeshift:$topic.name,,commRelayMakeshift
vulpChatSurroundings_commRelayMakeshift,DialogOptionSelected,$option == vulpChatSurroundings_commRelayMakeshift,"SetVulpoidExpression fear
ExitRulesToPlugin","""Actually, I meant to bring that up. Any chance we can pull back the $shipOrFleet a tiny bit? The hyperwave wash off of these makeshift relays puts my fur on end.""",,,
vulpChatSurroundings_commRelayMakeshiftHacked,DialogOptionSelected,"$option == vulpChatSurroundings_commRelayMakeshift
$topic.cob_hacked","SetVulpoidExpression bruh
ExitRulesToPlugin","""I was just checking some... things. Do we have a sniffer script running on this relay?""",,,
vulpChatSurroundings_commRelayMakeshiftDummy,DialogOptionSelected,"$option == vulpChatSurroundings_commRelayMakeshift
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""We should make some holovids! People really like seeing my sisters in them!""",,,
vulpChatSurroundings_sensorArrayOption,VulpoidChatSurroundingsOptions,$topic.customType == sensor_array score:1000,,,vulpChatSurroundings_sensorArray:$topic.name,,sensorArray
vulpChatSurroundings_sensorArray,DialogOptionSelected,$option == vulpChatSurroundings_sensorArray,"SetVulpoidExpression default
ExitRulesToPlugin","""Do we have any volatiles in reserve? I'd love to put out a neutrino burst for some hyperspace readings.""",,,
vulpChatSurroundings_sensorArrayDidBurst,DialogOptionSelected,"$option == vulpChatSurroundings_sensorArray
$topic.cob_didBurst","SetVulpoidExpression default
ExitRulesToPlugin","""Hyperspace topography is a fascinating field. Even a lot of spacers underestimate just how much work it takes to make the three-dimensional representations they're accustomed to.""",,,
vulpChatSurroundings_sensorArrayDummy,DialogOptionSelected,"$option == vulpChatSurroundings_sensorArray
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""Oh, a sensor array? Can it see me? Hello Ms. Array!""",,,
vulpChatSurroundings_sensorArrayMakeshiftOption,VulpoidChatSurroundingsOptions,$topic.customType == sensor_array_makeshift score:1000,,,vulpChatSurroundings_sensorArrayMakeshift:$topic.name,,sensorArrayMakeshift
vulpChatSurroundings_sensorArrayMakeshift,DialogOptionSelected,$option == vulpChatSurroundings_sensorArrayMakeshift,"SetVulpoidExpression default
ExitRulesToPlugin","""Do we have any volatiles in reserve? I'd love to put out a neutrino burst for some hyperspace readings.""",,,
vulpChatSurroundings_sensorArrayMakeshiftDidBurst,DialogOptionSelected,"$option == vulpChatSurroundings_sensorArrayMakeshift
$topic.cob_didBurst","SetVulpoidExpression default
ExitRulesToPlugin","""Hyperspace topography is a fascinating field. Even a lot of spacers underestimate just how much work it takes to make the three-dimensional representations they're accustomed to.""",,,
vulpChatSurroundings_sensorArrayMakeshiftDummy,DialogOptionSelected,"$option == vulpChatSurroundings_sensorArrayMakeshift
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""Oh, a sensor array? Can it see me? Hello Ms. Array!""",,,
vulpChatSurroundings_navBuoyOption,VulpoidChatSurroundingsOptions,$topic.customType == nav_buoy score:1000,,,vulpChatSurroundings_navBuoy:$topic.name,,navBuoy
vulpChatSurroundings_navBuoy,DialogOptionSelected,$option == vulpChatSurroundings_navBuoy,"SetVulpoidExpression default
ExitRulesToPlugin","""These buoys are pretty underappreciated for what they do. It's really incredible how much data there is in the field of local hyperwave analysis.""",,,
vulpChatSurroundings_navBuoyNoBenefits,DialogOptionSelected,"$option == vulpChatSurroundings_navBuoy
$topicFaction.id != player
!$topic.cob_hacked","SetVulpoidExpression bruh
ExitRulesToPlugin","""You know, there's a few vulnerabilities we could probably exploit if we wanted to tap the telemetry here.""",,,
vulpChatSurroundings_navBuoyDummy,DialogOptionSelected,"$option == vulpChatSurroundings_navBuoy
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""Yay, make us go faster!""",,,
vulpChatSurroundings_navBuoyMakeshiftOption,VulpoidChatSurroundingsOptions,$topic.customType == nav_buoy_makeshift score:1000,,,vulpChatSurroundings_navBuoyMakeshift:$topic.name,,navBuoyMakeshift
vulpChatSurroundings_navBuoyMakeshiftNoBenefits,DialogOptionSelected,$option == vulpChatSurroundings_navBuoyMakeshift,"SetVulpoidExpression default
ExitRulesToPlugin","""These buoys are pretty underappreciated for what they do. Even these makeshift ones are really quite impressive in terms of the hyperwave data they can collect.""",,,
vulpChatSurroundings_navBuoyMakeshift,DialogOptionSelected,"$option == vulpChatSurroundings_navBuoyMakeshift
$topicFaction.id != player
!$topic.cob_hacked","SetVulpoidExpression default
ExitRulesToPlugin","""You know, there's a few vulnerabilities we could probably exploit if we wanted to tap the telemetry here, even if it'll be a bit spotty.""",,,
vulpChatSurroundings_navBuoyMakeshiftDummy,DialogOptionSelected,"$option == vulpChatSurroundings_navBuoyMakeshift
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""Yay, make us go faster!""",,,
vulpChatSurroundings_wormholeOption,VulpoidChatSurroundingsOptions,$topic.wormhole score:1000,"$optionColor:vulpChatSurroundings_wormhole = ""255,0,255"" 0",,vulpChatSurroundings_wormhole:$topic.name,,wormhole
vulpChatSurroundings_wormhole,DialogOptionSelected,$option == vulpChatSurroundings_wormhole,"SetVulpoidExpression bruh
ExitRulesToPlugin","""This isn't a jump-point, the readings aren't consistent with a standard Durand-Patel conjunction.""

""It could be a stable wormhole, but I can't be confident. Our sensor suites just aren't suitable for this.""",,,
vulpChatSurroundings_wormholeCalibrated,DialogOptionSelected,"$option == vulpChatSurroundings_wormhole
$player.gotWormholeCalibrationData","SetVulpoidExpression default
ExitRulesToPlugin","""A stable wormhole. Fascinating technology, and impressively efficient! I wonder why the Domain favored the Gates.""

""Probably control - the Gates could be locked as they saw fit, no way to do that to a wormhole network.""",,,
vulpChatSurroundings_wormholeDummy,DialogOptionSelected,"$option == vulpChatSurroundings_wormhole
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""You want to know something funny? If you look at the display right, they look like purple donuts, haha!""",,,
vulpChatSurroundings_fusionLampOption,VulpoidChatSurroundingsOptions,$topic.customType == fusion_lamp score:1000,,,vulpChatSurroundings_fusionLamp:$topic.name,,fusionLamp
vulpChatSurroundings_fusionLamp,DialogOptionSelected,$option == vulpChatSurroundings_fusionLamp,"SetVulpoidExpression default
ExitRulesToPlugin","""A fusion lamp! What an incredible sight, a man-made star that can illuminate an entire world.""",,,
vulpChatSurroundings_fusionLampLaisa,DialogOptionSelected,"$option == vulpChatSurroundings_fusionLamp
$id == laisa","SetVulpoidExpression default
ExitRulesToPlugin","""Ah, the Fabrique Orbitale Orbital Fusion Lamp. I remember these, Eridani-Utopia loved them.""

""You know, Fabrique used be Tri-Tachyon's major rival. Hard to imagine today. I wonder if there's another Sector out there where Fabrique is the universal brand, and TT is the one relegated to the past.""",,,
vulpChatSurroundings_fusionLampKanta,DialogOptionSelected,"$option == vulpChatSurroundings_fusionLamp
$vulp_profectoAssignment != vulpoids score:100
$topicFaction.id == pirates
$topic.locationId == magec","SetVulpoidExpression bruh
ExitRulesToPlugin","""This is ridiculous! What kind of maniac installs a fusion lamp around a space station!? They can't even fuel the thing properly!""",,,
vulpChatSurroundings_fusionLampBivouac,DialogOptionSelected,"$option == vulpChatSurroundings_fusionLamp
$vulp_profectoAssignment != vulpoids score:100
$vulp_bivouacLamp score:1000","SetVulpoidExpression bruh
ExitRulesToPlugin","""That's a strange. That's not one of the standard library colors for a fusion lamp. Did they hack it to get a specific spectrum? Or maybe it's just age...""",,,
vulpChatSurroundings_fusionLampDummy,DialogOptionSelected,"$option == vulpChatSurroundings_fusionLamp
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""Wow, it's a tiny star! Can I hold it?""",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
# Gates,,,,,,,
vulpChatSurroundings_inactiveGateOption,VulpoidChatSurroundingsOptions,$topic.tag:gate score:1000,,,vulpChatSurroundings_inactiveGate:$topic.name,,inactiveGate
vulpChatSurroundings_inactiveGate,DialogOptionSelected,$option == vulpChatSurroundings_inactiveGate,"SetVulpoidExpression default
ExitRulesToPlugin","""A silent ring of adamantine material, derelict of a former age.""

""It's hard to avoid poetry when describing these things.""",,,
vulpChatSurroundings_inactiveGateDummy,DialogOptionSelected,"$option == vulpChatSurroundings_inactiveGate
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""Woah, it's so big! It must be at least a mile wide!""",,,
vulpChatSurroundings_scannedGateNoTravelOption,VulpoidChatSurroundingsOptions,"$topic.tag:gate score:1000
$gateScanned",,,vulpChatSurroundings_scannedGateNoTravel:$topic.namescannedGateNoTravel:,,scannedGateNoTravel
vulpChatSurroundings_scannedGateNoTravel,DialogOptionSelected,$option == vulpChatSurroundings_scannedGateNoTravel,"SetVulpoidExpression default
ExitRulesToPlugin","""We're so close. It's... terrifying. These things haven't been open for so long. Two hundred cycles, and we're going to be the ones to do it. I can almost hear it.""",,,
vulpChatSurroundings_scannedGateNoTravelLaisa,DialogOptionSelected,"$option == vulpChatSurroundings_scannedGateNoTravel
$id == laisa score:1000","SetVulpoidExpression blush
ExitRulesToPlugin","""I can't believe it. I waited two hundred cycles for the Domain to open these back up and find me.""

""But instead, it's going to be you. My one-person Domain.""",,,
vulpChatSurroundings_scannedGateNoTravelDummy,DialogOptionSelected,"$option == vulpChatSurroundings_scannedGateNoTravel
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""I'm so excited for you! This is gonna be awesome!""",,,
vulpChatSurroundings_inactiveGateCanTravelOption,VulpoidChatSurroundingsOptions,"$topic.tag:gate score:1000
$global.playerCanUseGates",,,vulpChatSurroundings_inactiveGateCanTravel:$topic.name,,inactiveGateCanTravel
vulpChatSurroundings_inactiveGateCanTravel,DialogOptionSelected,$option == vulpChatSurroundings_inactiveGateCanTravel,"SetVulpoidExpression default
ExitRulesToPlugin","""A silent ring of adamantine material, derelict of a former age.""

""...For now.""",,,
vulpChatSurroundings_inactiveGateCanTravelDummy,DialogOptionSelected,"$option == vulpChatSurroundings_inactiveGateCanTravel
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","""Woah, it's so big! It must be at least a mile wide!""",,,
vulpChatSurroundings_scannedGateCanTravelOption,VulpoidChatSurroundingsOptions,"$topic.tag:gate score:1000
$global.playerCanUseGates
$gateScanned",,,vulpChatSurroundings_scannedGateCanTravel:$topic.name,,scannedGateCanTravel
vulpChatSurroundings_scannedGateCanTravel,DialogOptionSelected,$option == vulpChatSurroundings_scannedGateCanTravel,"SetVulpoidExpression default
ExitRulesToPlugin","""Passing through these things is an incredible experience. Like what it must have once felt like to break orbit.""

""It almost makes me want to sing.""",,,
vulpChatSurroundings_scannedGateCanTravelLaisa,DialogOptionSelected,"$option == vulpChatSurroundings_scannedGateCanTravel
$id == laisa score:1000","SetVulpoidExpression default
ExitRulesToPlugin","""It's been so long since I last went through a Gate. It's different than I remember. Bigger, more impactful.""

""It almost brings me to song.""",,,
vulpChatSurroundings_scannedGateCanTravelDummy,DialogOptionSelected,"$option == vulpChatSurroundings_scannedGateCanTravel
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression default
ExitRulesToPlugin","She whistles a jaunty tune. You don't believe you've heard the song before, but it's quite catchy.",,,
,,,,,,,
# Gate Hauler,,,,,,,
vulpChatSurroundings_gateHaulerOption,VulpoidChatSurroundingsOptions,"$topic.gateHauler score:1000
!$topic.activated
!$topic.inTransit
!$topic.deploying",,,vulpChatSurroundings_gateHauler:The Gate Hauler,,gateHauler
vulpChatSurroundings_gateHauler,DialogOptionSelected,$option == vulpChatSurroundings_gateHauler,"SetVulpoidExpression fear
ExitRulesToPlugin","""...Dear God. That's a Gate Hauler""",,,
vulpChatSurroundings_gateHaulerDummy,DialogOptionSelected,"$option == vulpChatSurroundings_gateHauler
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression fear
ExitRulesToPlugin","""...Wow. That's big.""",,,
vulpChatSurroundings_gateHaulerActivatedOption,VulpoidChatSurroundingsOptions,"$topic.gateHauler score:1000
$topic.activated
!$topic.inTransit
!$topic.deploying
$topic.locationId == ""deep space""",,,vulpChatSurroundings_gateHaulerActivated:The Gate Hauler,,gateHaulerActivated
vulpChatSurroundings_gateHaulerActivated,DialogOptionSelected,$option == vulpChatSurroundings_gateHaulerActivated,"SetVulpoidExpression fear
ExitRulesToPlugin","""You just activated a Gate Hauler. That's... inconceivable. And yet..."" she gestures futilely at the display.",,,
vulpChatSurroundings_gateHaulerActivatedDummy,DialogOptionSelected,"$option == vulpChatSurroundings_gateHaulerActivated
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression fear
ExitRulesToPlugin","""Aah, it's still alive!""",,,
vulpChatSurroundings_gateHaulerFlyingOption,VulpoidChatSurroundingsOptions,"$topic.gateHauler score:1000
$topic.activated
$topic.inTransit
!$topic.deploying",,,vulpChatSurroundings_gateHaulerFlying:The Gate Hauler,,gateHaulerFlying
vulpChatSurroundings_gateHaulerFlying,DialogOptionSelected,$option == vulpChatSurroundings_gateHaulerFlying,"SetVulpoidExpression fear
ExitRulesToPlugin","""Terrifying. A dead leviathan restored to life, and now aflight once more.""",,,
vulpChatSurroundings_gateHaulerFlyingDummy,DialogOptionSelected,"$option == vulpChatSurroundings_gateHaulerFlying
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression fear
ExitRulesToPlugin","""How come it's moving so fast? Big things shouldn't move that fast!""",,,
vulpChatSurroundings_gateHaulerArrivedOption,VulpoidChatSurroundingsOptions,"$topic.gateHauler score:1000
$topic.activated
!$topic.inTransit
!$topic.deploying
$topic.locationId != ""deep space""",,,vulpChatSurroundings_gateHaulerArrived:The Gate Hauler,,gateHaulerArrived
vulpChatSurroundings_gateHaulerArrived,DialogOptionSelected,$option == vulpChatSurroundings_gateHaulerArrived,"SetVulpoidExpression fear
ExitRulesToPlugin","""Unbelievable. You hold a Gate in your hands. Even at the height of the Domain, could any individual have said that?""",,,
vulpChatSurroundings_gateHaulerArrivedGatesActive,DialogOptionSelected,"$option == vulpChatSurroundings_gateHaulerArrived
$global.playerCanUseGates","SetVulpoidExpression fear
ExitRulesToPlugin","""You hold a Gate in your hands. Even at the height of the Domain, could any individual have said that? And beyond that, to be the only one able to travel through it...""",,,
vulpChatSurroundings_gateHaulerArrivedDummy,DialogOptionSelected,"$option == vulpChatSurroundings_gateHaulerArrived
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression fear
ExitRulesToPlugin","""I still think it's scary.""",,,
,,,,,,,
# Hypershunt,,,,,,,
vulpChatSurroundings_hypershuntOption,VulpoidChatSurroundingsOptions,$topic.customType == coronal_tap score:1000,"$optionColor:vulpChatSurroundings_hypershunt = ""104,120,149"" 0",,vulpChatSurroundings_hypershunt:Coronal Hypershunt,,hypershunt
vulpChatSurroundings_hypershunt,DialogOptionSelected,$option == vulpChatSurroundings_hypershunt,"SetVulpoidExpression fear
ExitRulesToPlugin","""A coronal hypershunt. Can you even conceive how much energy these titans once produced? It's literally astronomical.""",,,
vulpChatSurroundings_hypershuntDummy,DialogOptionSelected,"$option == vulpChatSurroundings_hypershunt
$vulp_profectoAssignment == vulpoids score:100","SetVulpoidExpression fear
ExitRulesToPlugin","""That thing looks like a giant needle... I don't like it. What if it pops the star?""",,,
vulpChatSurroundings_hypershuntActive,DialogOptionSelected,"$option == vulpChatSurroundings_hypershunt
$topic.usable","SetVulpoidExpression default
ExitRulesToPlugin","""You never cease to amaze, $playerSirOrMadam.""",,,
